observation_id,obs_match,partner_id,par_match,From Dataset,no_partner_ids,id,p_id
328217871,Yes,328217995,No,Yes,,328217871_328217995,328217995_328217871
328221926,Yes,328221927,No,Yes,,328221926_328221927,328221927_328221926
328222221,Yes,328222382,Yes,Yes,,328222221_328222382,328222382_328222221
328222382,Yes,328222221,Yes,Yes,,328222382_328222221,328222221_328222382
328236427,No,328125677,Yes,Yes,,328236427_328125677,328125677_328236427
328251248,No,328251324,Yes,Yes,,328251248_328251324,328251324_328251248
328251324,Yes,328251248,No,Yes,,328251324_328251248,328251248_328251324
328293348,Yes,340334437,No,Yes,,328293348_340334437,340334437_328293348
328311588,Yes,328311924,No,Yes,,328311588_328311924,328311924_328311588
328417331,Yes,328418486,No,Yes,,328417331_328418486,328418486_328417331
328515684,Yes,328515921,No,Yes,,328515684_328515921,328515921_328515684
328566618,Yes,328566619,Yes,Yes,,328566618_328566619,328566619_328566618
328566619,Yes,328566618,Yes,Yes,,328566619_328566618,328566618_328566619
328566630,Yes,328569158,No,Yes,,328566630_328569158,328569158_328566630
328566653,Yes,328569526,No,Yes,,328566653_328569526,328569526_328566653
328612410,Yes,333463718,No,Yes,,328612410_333463718,333463718_328612410
328619754,Yes,328636719,No,Yes,,328619754_328636719,328636719_328619754
328681774,Yes,328685245,No,Yes,,328681774_328685245,328685245_328681774
328740206,No,328740205,No,Yes,,328740206_328740205,328740205_328740206
328837760,Yes,328837761,No,Yes,,328837760_328837761,328837761_328837760
328908456,Yes,328908861,No,Yes,,328908456_328908861,328908861_328908456
328937991,Yes,328937997,Yes,Yes,,328937991_328937997,328937997_328937991
328937997,Yes,328937991,Yes,Yes,,328937997_328937991,328937991_328937997
328991906,Yes,329025558,No,Yes,,328991906_329025558,329025558_328991906
329003978,Yes,329004063,No,Yes,,329003978_329004063,329004063_329003978
329004063,No,329003978,Yes,Yes,,329004063_329003978,329003978_329004063
329011555,No,329011557,Yes,Yes,,329011555_329011557,329011557_329011555
329011557,Yes,329011555,No,Yes,,329011557_329011555,329011555_329011557
329126626,Yes,329127013,No,Yes,,329126626_329127013,329127013_329126626
329133494,Yes,339045568,No,Yes,,329133494_339045568,339045568_329133494
329252320,Yes,329252521,No,Yes,,329252320_329252521,329252521_329252320
329254079,Yes,329254544,No,Yes,,329254079_329254544,329254544_329254079
329256556,Yes,315428026,Yes,Yes,,329256556_315428026,315428026_329256556
329476387,Yes,329476388,No,Yes,,329476387_329476388,329476388_329476387
329520902,Yes,329520949,No,Yes,,329520902_329520949,329520949_329520902
329580248,Yes,329580463,Yes,Yes,,329580248_329580463,329580463_329580248
329580463,Yes,329580463,Yes,Yes,,329580463_329580463,329580463_329580463
329600069,Yes,329600070,No,Yes,,329600069_329600070,329600070_329600069
329600070,No,329600069,Yes,Yes,,329600070_329600069,329600069_329600070
329608213,Yes,329608215,Yes,Yes,,329608213_329608215,329608215_329608213
329608215,Yes,329608213,Yes,Yes,,329608215_329608213,329608213_329608215
329712105,Yes,329712131,Yes,Yes,,329712105_329712131,329712131_329712105
329712131,Yes,329712105,Yes,Yes,,329712131_329712105,329712105_329712131
329820841,Yes,329820843,Yes,Yes,,329820841_329820843,329820843_329820841
329820843,Yes,329820841,Yes,Yes,,329820843_329820841,329820841_329820843
329956685,Yes,329956719,No,Yes,,329956685_329956719,329956719_329956685
330156324,Yes,330114506,No,Yes,,330156324_330114506,330114506_330156324
330275419,Yes,330275422,No,Yes,,330275419_330275422,330275422_330275419
330275420,Yes,330275422,No,Yes,,330275420_330275422,330275422_330275420
330275422,No,330275420,Yes,Yes,,330275422_330275420,330275420_330275422
330320886,Yes,330320887,No,Yes,,330320886_330320887,330320887_330320886
330320887,No,330320886,Yes,Yes,,330320887_330320886,330320886_330320887
330379006,No,330813263,No,Yes,,330379006_330813263,330813263_330379006
330389613,Yes,330389617,No,Yes,,330389613_330389617,330389617_330389613
330435349,Yes,330435276,No,Yes,,330435349_330435276,330435276_330435349
330639950,No,115495626,Yes,Yes,,330639950_115495626,115495626_330639950
330731881,Yes,330732079,No,Yes,,330731881_330732079,330732079_330731881
330765563,Yes,247858343,No,Yes,,330765563_247858343,247858343_330765563
330813263,No,330379006,No,Yes,,330813263_330379006,330379006_330813263
330856408,Yes,330856413,No,Yes,,330856408_330856413,330856413_330856408
330880849,Yes,330880853,No,Yes,,330880849_330880853,330880853_330880849
330880853,No,330880849,Yes,Yes,,330880853_330880849,330880849_330880853
330885936,Yes,330885938,No,Yes,,330885936_330885938,330885938_330885936
330955797,Yes,330955798,No,Yes,,330955797_330955798,330955798_330955797
330955799,Yes,330955800,No,Yes,,330955799_330955800,330955800_330955799
331325937,No,331326178,Yes,Yes,,331325937_331326178,331326178_331325937
331326178,Yes,331325937,No,Yes,,331326178_331325937,331325937_331326178
331371030,No,331495438,Yes,Yes,,331371030_331495438,331495438_331371030
331410645,Yes,331410646,No,Yes,,331410645_331410646,331410646_331410645
331436079,Yes,331436081,No,Yes,,331436079_331436081,331436081_331436079
331436081,No,331436079,Yes,Yes,,331436081_331436079,331436079_331436081
331440285,No,139811556,Yes,Yes,,331440285_139811556,139811556_331440285
331450972,Yes,331451454,Yes,Yes,,331450972_331451454,331451454_331450972
331451454,Yes,331450972,Yes,Yes,,331451454_331450972,331450972_331451454
331495438,Yes,331371030,No,Yes,,331495438_331371030,331371030_331495438
331632935,Yes,331632844,No,Yes,,331632935_331632844,331632844_331632935
331639041,Yes,331638967,No,Yes,,331639041_331638967,331638967_331639041
331669532,Yes,331669651,No,Yes,,331669532_331669651,331669651_331669532
331684530,No,337418658,No,Yes,,331684530_337418658,337418658_331684530
331752337,Yes,331752340,No,Yes,,331752337_331752340,331752340_331752337
331752340,No,331752337,Yes,Yes,,331752340_331752337,331752337_331752340
331831590,Yes,331831594,Yes,Yes,,331831590_331831594,331831594_331831590
331831594,Yes,331831590,Yes,Yes,,331831594_331831590,331831590_331831594
331903681,Yes,331903801,No,Yes,,331903681_331903801,331903801_331903681
331924147,No,339173039,No,Yes,,331924147_339173039,339173039_331924147
332027088,No,332582535,No,Yes,,332027088_332582535,332582535_332027088
332030443,Yes,332157650,No,Yes,,332030443_332157650,332157650_332030443
332157650,No,332030443,Yes,Yes,,332157650_332030443,332030443_332157650
332185233,Yes,332185248,Yes,Yes,,332185233_332185248,332185248_332185233
332185248,Yes,332185233,Yes,Yes,,332185248_332185233,332185233_332185248
332209996,Yes,332209997,Yes,Yes,,332209996_332209997,332209997_332209996
